round,context_music,context_sports,context_tech,action_taken,reward,true_prob_music,true_prob_sports,true_prob_tech,observed_true_prob,optimal_action,phase
1,0.31651310994496806,0.544913048424312,0.13857384163072003,2,0,0.19068170254012431,0.10099938390691635,0.7083189135529594,0.7083189135529594,2,tech
2,0.23256620456522584,0.42846824252734916,0.33896555290742486,0,0,0.20468465694376842,0.11370441862032438,0.6816109244359072,0.20468465694376842,2,tech
3,0.3484815228069804,0.3546317318009484,0.2968867453920712,0,0,0.1878458364963397,0.10916963264110999,0.7029845308625503,0.1878458364963397,2,tech
4,0.19987643819551276,0.20864703304162963,0.5914765287628577,0,1,0.21160816598687515,0.13004600842677774,0.6583458255863471,0.21160816598687515,2,tech
5,0.23218645744869143,0.5237456152853737,0.24406792726593496,1,0,0.20382200830920436,0.10823528280582652,0.6879427088849691,0.10823528280582652,2,tech
6,0.25768672343043475,0.7035090291600085,0.03880424740955678,1,0,0.1979320256632894,0.09676289019456881,0.7053050841421418,0.09676289019456881,2,tech
7,0.3862711922990796,0.36790464816920576,0.24582415953171463,2,1,0.1822096136794241,0.10558386156071581,0.71220652475986,0.71220652475986,2,tech
8,0.3459291411888761,0.0798306393630632,0.5742402194480607,0,0,0.19058639438115754,0.1260981391940799,0.6833154664247626,0.19058639438115754,2,tech
9,0.5651412884239025,0.24328093331198186,0.19157777826411548,0,0,0.15879862582901794,0.09915722434532247,0.7420441498256596,0.15879862582901794,2,tech
10,0.4304475767549706,0.04000282310626113,0.5295496001387684,0,0,0.17885635754983317,0.12149049362581504,0.6996531488243518,0.17885635754983317,2,tech
11,0.003614327356873417,0.5337345230766596,0.462651149566467,2,0,0.24115299290587516,0.12490636018782096,0.6339406469063039,0.6339406469063039,2,tech
12,0.27753834194233046,0.42425906109595257,0.2982025969617169,2,0,0.19780071926686402,0.11053774000837371,0.6916615407247623,0.6916615407247623,2,tech
13,0.49083865974551616,0.1041960250568382,0.40496531519764567,1,0,0.17000300264039597,0.1126249615443695,0.7173720358152346,0.1126249615443695,2,tech
14,0.3236399125008268,0.28280879516900426,0.393551292330169,0,0,0.1921791148764213,0.11529153964923973,0.692529345474339,0.1921791148764213,2,tech
15,0.38220937945469524,0.33390839480425233,0.2838822257410523,2,0,0.18312660026386776,0.10779556933936982,0.7090778303967625,0.7090778303967625,2,tech
16,0.3419472646417333,0.36198593600600365,0.29606679935226304,1,0,0.1887380103857509,0.1092443606617021,0.702017628952547,0.1092443606617021,2,tech
17,0.12825051013517227,0.569515131805012,0.30223435805981563,0,0,0.2199889138820445,0.11327450992781618,0.6667365761901394,0.2199889138820445,2,tech
18,0.579085227705691,0.159064323583301,0.26185044871100793,2,1,0.15778425911452829,0.10265157849838216,0.7395641623870896,0.7395641623870896,2,tech
19,0.4215747359132263,0.2677685684883665,0.31065669559840725,1,0,0.17812468037348148,0.10855825609693805,0.7133170635295804,0.10855825609693805,2,tech
20,0.3446969877668071,0.12300206414956606,0.5323009480836268,1,1,0.19042995033679533,0.1234360400015306,0.686134009661674,0.1234360400015306,2,tech
21,0.40405203766475156,0.1520907788818094,0.443857183453439,1,0,0.18164689073757315,0.11674592846411604,0.7016071807983109,0.11674592846411604,2,tech
22,0.15473607035039788,0.2899464044557602,0.5553175251938419,0,0,0.2181122983574876,0.12847588816354807,0.6534118134789644,0.2181122983574876,2,tech
23,0.13911735142713252,0.45125092142496703,0.40963172714790036,0,0,0.21930631635709494,0.11953041898089589,0.6611632646620091,0.21930631635709494,2,tech
24,0.21051899821096237,0.5879487152363367,0.20153228655270086,0,0,0.20657373827012354,0.10621372759075218,0.6872125341391243,0.20657373827012354,2,tech
25,0.11471471490052314,0.44886462737850186,0.436420657720975,2,1,0.22329335261404856,0.12157831731173259,0.6551283300742188,0.6551283300742188,2,tech
26,0.4832565537152787,0.45749737079830916,0.05924607548641214,0,1,0.1676141495999855,0.09390044943909247,0.7384854009609221,0.1676141495999855,2,tech
27,0.5208544999366514,0.0418809557282549,0.4372645443350936,0,0,0.16649849237588374,0.11390256818291315,0.7195989394412031,0.16649849237588374,2,tech
28,0.08944138471552865,0.30213169037825954,0.6084269249062119,2,0,0.22855025342841093,0.1330806379897556,0.6383691085818335,0.6383691085818335,2,tech
29,0.4408864227620139,0.13756364013752484,0.4215499371004613,0,0,0.17658778655177332,0.1146491592288311,0.7087630542193957,0.17658778655177332,2,tech
30,0.5029633578972555,0.4253550064051951,0.07168163569754936,0,0,0.16525803446707496,0.0941617941533881,0.7405801713795369,0.16525803446707496,2,tech
31,0.24641489211278697,0.3373849870629426,0.41620012082427044,2,1,0.20336649777009147,0.11808692380382331,0.6785465784260852,0.6785465784260852,2,tech
32,0.3804329054919843,0.4330465266931381,0.18652056781487772,2,1,0.1824032946738909,0.10243813843835628,0.7151585668877527,0.7151585668877527,2,tech
33,0.3429987510024693,0.1919850855359124,0.4650161634616182,0,0,0.19011388526865916,0.11925969524175359,0.6906264194895873,0.19011388526865916,2,tech
34,0.49484986623721117,0.1407192536296573,0.3644308801331315,1,0,0.1691354319053981,0.11017136387758077,0.7206932042170211,0.11017136387758077,2,tech
35,0.3247302470683537,0.40209573030700374,0.27317402262464247,0,0,0.19090359991982683,0.10825764122267138,0.7008387588575017,0.19090359991982683,2,tech
36,0.04924153298075402,0.4745323944420005,0.4762260725772455,2,1,0.23391086855768511,0.12509724000802705,0.6409918914342878,0.6409918914342878,2,tech
37,0.15273171055453752,0.3835705904450944,0.46369769900036806,1,0,0.21769090373813565,0.12265478593823927,0.6596543103236251,0.12265478593823927,2,tech
38,0.7231712220626523,0.09477352350814784,0.18205525442919987,1,0,0.14044779254843248,0.09539968799246307,0.7641525194591045,0.09539968799246307,2,tech
39,0.30673802399660954,0.19665216309040875,0.4966098129129817,0,0,0.19542810284385106,0.12193170705577067,0.6826401901003782,0.19542810284385106,2,tech
40,0.11474511305358458,0.3915507970040559,0.4937040899423596,0,0,0.2237608482433272,0.12517905777382066,0.6510600939828521,0.2237608482433272,2,tech
41,0.5586472978589987,0.1861028202968633,0.25524988184413794,2,1,0.16019840253504394,0.10271283206627525,0.7370887653986808,0.7370887653986808,2,tech
42,0.2266127483968982,0.399098281941844,0.3742889696612578,1,0,0.20588129053095963,0.11590703422828054,0.6782116752407599,0.11590703422828054,2,tech
43,0.1515371456135033,0.6043176262605133,0.2441452281259834,1,1,0.21585386153608435,0.10955710584694468,0.6745890326169709,0.10955710584694468,2,tech
44,0.30386235108689585,0.2448826607174471,0.45125498819565696,2,1,0.19545421900653795,0.11916890389606082,0.6853768770974012,0.6853768770974012,2,tech
45,0.16291054485698794,0.6028132895204245,0.23427616562258755,2,0,0.21402825197380995,0.10881713918373952,0.6771546088424505,0.6771546088424505,2,tech
46,0.028913073768372738,0.6594730485014147,0.3116138777302124,1,1,0.2357313869212499,0.11531012370215774,0.6489584893765924,0.11531012370215774,2,tech
47,0.28171790534265906,0.011763618224270573,0.7065184764330703,0,0,0.20051004059534341,0.13622642601810045,0.6632635333865561,0.20051004059534341,2,tech
48,0.35153741198141747,0.6021802598983834,0.046282328120199064,0,0,0.1848415925700431,0.09558671475446681,0.7195716926754901,0.1848415925700431,2,tech
49,0.6363394009773832,0.2369419220984685,0.1267186769241482,0,0,0.1497215498295717,0.09436190295069928,0.7559165472197289,0.1497215498295717,2,tech
50,0.45765588196207746,0.5041708713616396,0.03817324667628296,1,0,0.17066192434878635,0.09331019133454398,0.7360278843166697,0.09331019133454398,2,tech
51,0.6005904511135919,0.08497832910386352,0.31443121978254446,1,0,0.15569358780152873,0.10510117550320595,0.7392052366952654,0.10510117550320595,2,tech
52,0.5009259422265564,0.08064051482699373,0.41843354294644985,2,1,0.16884146781014323,0.11320880592099236,0.7179497262688644,0.7179497262688644,2,tech
53,0.3254960385642582,0.3257985622006009,0.34870539923514104,0,0,0.19151331185873172,0.11259938435641587,0.6958873037848524,0.19151331185873172,2,tech
