round,action,optimal_action,reward,cumulative_reward,cumulative_regret
1,0,2,0,0,0.5176372110128351
2,1,2,0,0,1.0855437168284179
3,2,2,1,1,1.0855437168284179
4,2,2,0,1,1.0855437168284179
5,2,2,1,2,1.0855437168284179
6,2,2,1,3,1.0855437168284179
7,2,2,1,4,1.0855437168284179
8,2,2,1,5,1.0855437168284179
9,2,2,1,6,1.0855437168284179
10,2,2,0,6,1.0855437168284179
11,2,2,0,6,1.0855437168284179
12,0,2,0,6,1.5794045382863162
13,1,2,0,6,2.1841516125571814
14,2,2,1,7,2.1841516125571814
15,2,2,1,8,2.1841516125571814
16,2,2,1,9,2.1841516125571814
17,2,2,1,10,2.1841516125571814
18,2,2,1,11,2.1841516125571814
19,2,2,0,11,2.1841516125571814
20,2,2,1,12,2.1841516125571814
21,2,2,1,13,2.1841516125571814
22,2,2,1,14,2.1841516125571814
23,2,2,0,14,2.1841516125571814
24,2,2,1,15,2.1841516125571814
25,2,2,1,16,2.1841516125571814
26,2,2,1,17,2.1841516125571814
27,2,2,1,18,2.1841516125571814
28,2,2,0,18,2.1841516125571814
29,2,2,1,19,2.1841516125571814
30,2,2,0,19,2.1841516125571814
31,2,2,0,19,2.1841516125571814
32,2,2,1,20,2.1841516125571814
33,2,2,0,20,2.1841516125571814
34,0,2,0,20,2.7357093848688043
35,1,2,0,20,3.3282905025036347
36,2,2,1,21,3.3282905025036347
37,2,2,1,22,3.3282905025036347
38,2,2,0,22,3.3282905025036347
39,2,2,0,22,3.3282905025036347
40,2,2,1,23,3.3282905025036347
41,2,2,1,24,3.3282905025036347
42,2,2,1,25,3.3282905025036347
43,2,2,0,25,3.3282905025036347
44,2,2,1,26,3.3282905025036347
45,2,2,1,27,3.3282905025036347
46,2,2,1,28,3.3282905025036347
47,2,2,0,28,3.3282905025036347
48,2,2,1,29,3.3282905025036347
49,2,2,1,30,3.3282905025036347
50,2,2,1,31,3.3282905025036347
51,0,2,0,31,3.9118021513973713
52,1,2,1,32,4.516543071745243
53,1,2,0,32,5.09983099117368
54,1,2,0,32,5.638868915760102
55,2,2,1,33,5.638868915760102
56,2,2,1,34,5.638868915760102
57,2,2,0,34,5.638868915760102
58,2,2,1,35,5.638868915760102
59,2,2,0,35,5.638868915760102
60,2,2,1,36,5.638868915760102
61,2,2,1,37,5.638868915760102
62,0,2,0,37,6.166253537978707
63,1,2,0,37,6.8151501531770196
64,2,2,1,38,6.8151501531770196
65,2,2,1,39,6.8151501531770196
66,2,2,1,40,6.8151501531770196
67,2,2,1,41,6.8151501531770196
68,2,2,0,41,6.8151501531770196
69,2,2,1,42,6.8151501531770196
70,2,2,0,42,6.8151501531770196
71,2,2,1,43,6.8151501531770196
72,2,2,0,43,6.8151501531770196
73,2,2,1,44,6.8151501531770196
74,2,2,1,45,6.8151501531770196
75,2,2,1,46,6.8151501531770196
76,2,2,1,47,6.8151501531770196
77,2,2,1,48,6.8151501531770196
78,2,2,1,49,6.8151501531770196
79,2,2,1,50,6.8151501531770196
80,2,2,1,51,6.8151501531770196
81,2,2,0,51,6.8151501531770196
82,2,2,1,52,6.8151501531770196
83,2,2,1,53,6.8151501531770196
84,0,2,0,53,7.217199202448898
85,2,2,1,54,7.217199202448898
86,2,2,0,54,7.217199202448898
87,2,2,1,55,7.217199202448898
88,2,2,1,56,7.217199202448898
89,2,2,0,56,7.217199202448898
90,2,2,1,57,7.217199202448898
91,2,2,0,57,7.217199202448898
92,2,2,0,57,7.217199202448898
93,2,2,0,57,7.217199202448898
94,1,2,0,57,7.846402830944147
95,2,2,1,58,7.846402830944147
96,2,2,1,59,7.846402830944147
97,2,2,1,60,7.846402830944147
98,2,2,0,60,7.846402830944147
99,2,2,0,60,7.846402830944147
100,2,2,0,60,7.846402830944147
101,0,2,0,60,8.347154605091955
102,2,2,1,61,8.347154605091955
103,2,2,1,62,8.347154605091955
104,1,2,0,62,8.956007756837032
105,2,2,1,63,8.956007756837032
106,2,2,1,64,8.956007756837032
107,2,2,1,65,8.956007756837032
108,2,2,0,65,8.956007756837032
109,2,2,1,66,8.956007756837032
110,2,2,1,67,8.956007756837032
